f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.6,3.0,0.7,11.76968172,7.409681722,4.36,4.97,0.0,
0.7,3.0,0.7,8.647113102,5.647113102,3.0,1.67,0.0,
0.8,3.0,0.7,6.620445969,4.400445969,2.22,0.95,0.0,
0.9,3.0,0.7,5.230969654,3.490969654,1.74,0.77,0.0,
0.1,3.0,0.8,396.343049,-170.516951,566.86,54069.14,86.0,
0.2,3.0,0.8,99.08576225,-6.814237747,105.9,850.42,0.0,
0.3,3.0,0.8,44.03811656,14.11811656,29.92,61.34,0.0,
0.4,3.0,0.8,24.77144056,12.61144056,12.16,15.48,0.0,
0.5,3.0,0.8,15.85372196,8.79372196,7.06,6.79,0.0,
0.6,3.0,0.8,11.00952914,6.969529139,4.04,2.94,0.0,
0.7,3.0,0.8,8.088633653,5.148633653,2.94,1.77,0.0,
0.8,3.0,0.8,6.192860141,4.092860141,2.1,1.15,0.0,
0.9,3.0,0.8,4.893124062,3.253124062,1.64,0.77,0.0,
0.1,3.0,0.9,373.6758102,-192.4941898,566.17,69034.97,88.0,
0.2,3.0,0.9,93.41895254,-21.02104746,114.44,899.52,0.0,
0.3,3.0,0.9,41.51953446,14.27953446,27.24,28.19,0.0,
0.4,3.0,0.9,23.35473814,11.57473814,11.78,10.34,0.0,
0.5,3.0,0.9,14.94703241,8.867032407,6.08,3.79,0.0,
0.6,3.0,0.9,10.37988362,6.379883616,4.0,2.69,0.0,
0.7,3.0,0.9,7.626036942,4.906036942,2.72,1.02,0.0,
0.8,3.0,0.9,5.838684534,3.538684534,2.3,1.32,0.0,
0.9,3.0,0.9,4.613281607,3.013281607,1.6,0.45,0.0,
0.1,5.0,0.0,,,,,100.0,
0.2,5.0,0.0,,,,,100.0,
0.3,5.0,0.0,,,67.0,,98.0,
0.4,5.0,0.0,,,28.175,131.89166666666668,20.0,
0.5,5.0,0.0,,,11.72,18.61387755102041,0.0,
0.6,5.0,0.0,,,7.224489795918367,9.84438775510204,2.0,
0.7,5.0,0.0,,,4.04,6.039183673469387,0.0,
0.8,5.0,0.0,,,2.8,2.979591836734694,0.0,
0.9,5.0,0.0,,,1.9,1.2755102040816326,0.0,
0.1,5.0,0.05,,,,,100.0,
0.2,5.0,0.05,,,273.1,6433.234693877551,0.0,
0.3,5.0,0.05,,,67.38,842.9751020408163,0.0,
0.4,5.0,0.05,,,22.82,29.41591836734694,0.0,
0.5,5.0,0.05,,,11.1,23.887755102040817,0.0,
0.6,5.0,0.05,,,6.02,7.162857142857143,0.0,
0.7,5.0,0.05,,,3.8,5.63265306122449,0.0,
0.8,5.0,0.05,,,2.58,2.7791836734693875,0.0,
0.9,5.0,0.05,,,1.46,0.743265306122449,0.0,
0.1,5.0,0.1,1146.325652,320.9956518,825.33,18977.06,64.0,
0.2,5.0,0.1,286.581413,109.001413,177.58,1928.33,0.0,
0.3,5.0,0.1,127.3695169,73.40951687,53.96,149.79,0.0,
0.4,5.0,0.1,71.64535324,49.52535324,22.12,90.88,0.0,
0.5,5.0,0.1,45.85302607,35.81302607,10.04,14.04,0.0,
0.6,5.0,0.1,31.84237922,25.04237922,6.8,17.14,0.0,
0.7,5.0,0.1,23.39440106,19.89440106,3.5,4.83,0.0,
0.8,5.0,0.1,17.91133831,15.35133831,2.56,2.74,0.0,
0.9,5.0,0.1,14.15216854,12.47216854,1.68,1.0,0.0,
0.1,5.0,0.2,810.5746418,117.8946418,692.68,32869.85,56.0,
0.2,5.0,0.2,202.6436605,56.56366046,146.08,1065.42,0.0,
0.3,5.0,0.2,90.06384909,41.24384909,48.82,177.54,0.0,
0.4,5.0,0.2,50.66091512,30.52091512,20.14,58.45,0.0,
0.5,5.0,0.2,32.42298567,21.98298567,10.44,19.56,0.0,
0.6,5.0,0.2,22.51596227,16.55596227,5.96,12.53,0.0,
0.7,5.0,0.2,16.54233963,13.50233963,3.04,3.55,0.0,
0.8,5.0,0.2,12.66522878,9.945228779,2.72,3.8,0.0,
0.9,5.0,0.2,10.00709434,8.347094344,1.66,0.56,0.0,
0.1,5.0,0.3,661.8314237,-95.01857635,756.85,26698.77,60.0,
0.2,5.0,0.3,165.4578559,17.61785591,147.84,1036.34,0.0,
0.3,5.0,0.3,73.53682485,30.83682485,42.7,135.56,0.0,
0.4,5.0,0.3,41.36446398,22.96446398,18.4,32.82,0.0,
0.5,5.0,0.3,26.47325695,16.61325695,9.86,17.02,0.0,
0.6,5.0,0.3,18.38420621,12.90420621,5.48,6.38,0.0,
0.7,5.0,0.3,13.50676375,10.24676375,3.26,3.87,0.0,
0.8,5.0,0.3,10.34111599,7.861115995,2.48,2.05,0.0,
0.9,5.0,0.3,8.170758317,6.170758317,2.0,1.71,0.0,
0.1,5.0,0.4,573.1628259,-185.4771741,758.64,31276.25,78.0,
0.2,5.0,0.4,143.2907065,-2.549293524,145.84,1163.36,0.0,
0.3,5.0,0.4,63.68475843,17.94475843,45.74,121.5,0.0,
0.4,5.0,0.4,35.82267662,17.62267662,18.2,26.16,0.0,
0.5,5.0,0.4,22.92651304,14.38651304,8.54,6.34,0.0,
0.6,5.0,0.4,15.92118961,10.86118961,5.06,11.98,0.0,
0.7,5.0,0.4,11.69720053,8.177200529,3.52,3.76,0.0,
0.8,5.0,0.4,8.955669155,6.775669155,2.18,1.33,0.0,
0.9,5.0,0.4,7.07608427,5.55608427,1.52,0.66,0.0,
0.1,5.0,0.5,512.6524164,-190.7675836,703.42,39433.36,76.0,
0.2,5.0,0.5,128.1631041,-31.73689591,159.9,1564.74,0.0,
0.3,5.0,0.5,56.9613796,13.1013796,43.86,160.16,0.0,
0.4,5.0,0.5,32.04077602,15.52077602,16.52,30.7,0.0,
0.5,5.0,0.5,20.50609665,11.82609665,8.68,11.98,0.0,
0.6,5.0,0.5,14.2403449,9.620344899,4.62,7.3,0.0,
0.7,5.0,0.5,10.46229421,7.502294211,2.96,1.22,0.0,
0.8,5.0,0.5,8.010194006,5.730194006,2.28,1.8,0.0,
0.9,5.0,0.5,6.329042177,4.729042177,1.6,0.49,0.0,
0.1,5.0,0.6,467.9854877,-320.0145123,788.0,60748.0,94.0,
0.2,5.0,0.6,116.9963719,-52.18362808,169.18,4916.56,0.0,
0.3,5.0,0.6,51.99838752,7.658387519,44.34,198.72,0.0,
0.4,5.0,0.6,29.24909298,14.30909298,14.94,17.32,0.0,
0.5,5.0,0.6,18.71941951,11.07941951,7.64,12.89,0.0,
0.6,5.0,0.6,12.99959688,7.69959688,5.3,6.17,0.0,
0.7,5.0,0.6,9.550724238,6.630724238,2.92,1.71,0.0,
0.8,5.0,0.6,7.312273245,4.752273245,2.56,1.6,0.0,
0.9,5.0,0.6,5.777598613,4.257598613,1.52,0.62,0.0,
0.1,5.0,0.7,433.2703709,-204.3296291,637.6,24447.3,90.0,
0.2,5.0,0.7,108.3175927,-82.52240728,190.84,6104.99,0.0,
0.3,5.0,0.7,48.14115232,7.92115232,40.22,92.62,0.0,
0.4,5.0,0.7,27.07939818,11.41939818,15.66,25.62,0.0,
0.5,5.0,0.7,17.33081484,9.990814835,7.34,12.11,0.0,
0.6,5.0,0.7,12.03528808,7.89528808,4.14,5.1,0.0,
0.7,5.0,0.7,8.842252467,6.002252467,2.84,2.63,0.0,
0.8,5.0,0.7,6.769849545,4.789849545,1.98,0.59,0.0,
0.9,5.0,0.7,5.349016924,3.729016924,1.62,1.02,0.0,
0.1,5.0,0.8,405.2873209,-242.3826791,647.67,43658.33,94.0,
0.2,5.0,0.8,101.3218302,-107.9981698,209.32,6032.34,0.0,
0.3,5.0,0.8,45.03192455,2.991924547,42.04,132.94,0.0,
0.4,5.0,0.8,25.33045756,10.37045756,14.96,26.53,0.0,
0.5,5.0,0.8,16.21149284,8.591492837,7.62,11.14,0.0,
0.6,5.0,0.8,11.25798114,6.637981137,4.62,4.73,0.0,
0.7,5.0,0.8,8.271169815,5.671169815,2.6,1.39,0.0,
0.8,5.0,0.8,6.332614389,4.072614389,2.26,0.69,0.0,
0.9,5.0,0.8,5.003547172,3.383547172,1.62,0.57,0.0,
0.1,5.0,0.9,382.1085506,,,,100.0,
0.2,5.0,0.9,95.52713765,-160.0528623,255.58,16387.68,0.0,
0.3,5.0,0.9,42.45650562,3.576505623,38.88,114.19,0.0,
0.4,5.0,0.9,23.88178441,8.881784413,15.0,18.2,0.0,
0.5,5.0,0.9,15.28434202,8.584342024,6.7,5.6,0.0,
0.6,5.0,0.9,10.61412641,6.554126406,4.06,2.55,0.0,
0.7,5.0,0.9,7.798133686,5.418133686,2.38,0.69,0.0,
0.8,5.0,0.9,5.970446103,3.990446103,1.98,0.63,0.0,
0.9,5.0,0.9,4.717389514,3.137389514,1.58,0.49,0.0,
0.1,7.0,0.0,,,,,100.0,
0.2,7.0,0.0,,,,,100.0,
0.3,7.0,0.0,,,,,100.0,
0.4,7.0,0.0,,,28.526315789473685,57.55334281650071,24.0,
0.5,7.0,0.0,,,13.63265306122449,22.987244897959183,2.0,
0.6,7.0,0.0,,,6.84,11.157551020408164,0.0,
0.7,7.0,0.0,,,4.18,6.191428571428571,0.0,
0.8,7.0,0.0,,,2.0,3.2244897959183674,0.0,
0.9,7.0,0.0,,,2.16,2.259591836734694,0.0,
0.1,7.0,0.05,,,,,100.0,
0.2,7.0,0.05,,,320.734693877551,11338.948979591836,2.0,
0.3,7.0,0.05,,,82.14,1627.8779591836735,0.0,
0.4,7.0,0.05,,,26.34,61.20857142857143,0.0,
0.5,7.0,0.05,,,13.5,29.602040816326532,0.0,
0.6,7.0,0.05,,,5.9,9.112244897959183,0.0,
0.7,7.0,0.05,,,4.64,9.01061224489796,0.0,
0.8,7.0,0.05,,,2.72,2.8587755102040817,0.0,
0.9,7.0,0.05,,,1.64,0.9697959183673469,0.0,
0.1,7.0,0.1,1184.272984,365.7029837,818.57,9305.95,86.0,
0.2,7.0,0.1,296.0682459,77.66824593,218.4,3085.63,0.0,
0.3,7.0,0.1,131.5858871,69.74588708,61.84,148.14,0.0,
0.4,7.0,0.1,74.01706148,49.91706148,24.1,54.58,0.0,
0.5,7.0,0.1,47.37091935,36.41091935,10.96,19.75,0.0,
0.6,7.0,0.1,32.89647177,25.45647177,7.44,20.82,0.0,
0.7,7.0,0.1,24.1688364,19.7488364,4.42,16.94,0.0,
0.8,7.0,0.1,18.50426537,15.68426537,2.82,4.15,0.0,
0.9,7.0,0.1,14.62065412,13.14065412,1.48,0.46,0.0,
0.1,7.0,0.2,837.4074576,24.73745757,812.67,19047.1,70.0,
0.2,7.0,0.2,209.3518644,27.97186439,181.38,1555.26,0.0,
0.3,7.0,0.2,93.04527306,36.32527306,56.72,145.23,0.0,
0.4,7.0,0.2,52.3379661,28.2179661,24.12,65.05,0.0,
0.5,7.0,0.2,33.4962983,22.4562983,11.04,19.67,0.0,
0.6,7.0,0.2,23.26131827,18.34131827,4.92,7.67,0.0,
0.7,7.0,0.2,17.08994811,13.38994811,3.7,4.74,0.0,
0.8,7.0,0.2,13.08449152,10.74449152,2.34,1.41,0.0,
0.9,7.0,0.2,10.33836367,8.418363674,1.92,1.75,0.0,
0.1,7.0,0.3,683.740326,-86.54967405,770.29,25162.24,86.0,
0.2,7.0,0.3,170.9350815,-16.40491851,187.34,1686.68,0.0,
0.3,7.0,0.3,75.97114733,24.87114733,51.1,129.32,0.0,
0.4,7.0,0.3,42.73377037,21.09377037,21.64,70.72,0.0,
0.5,7.0,0.3,27.34961304,17.80961304,9.54,16.78,0.0,
0.6,7.0,0.3,18.99278683,13.03278683,5.96,12.0,0.0,
0.7,7.0,0.3,13.9538842,10.1738842,3.78,7.93,0.0,
0.8,7.0,0.3,10.68344259,8.063442593,2.62,2.85,0.0,
0.9,7.0,0.3,8.441238592,6.741238592,1.7,0.87,0.0,
0.1,7.0,0.4,592.1364919,-199.1935081,791.33,18177.33,94.0,
0.2,7.0,0.4,148.034123,-55.94587703,203.98,2353.57,0.0,
0.3,7.0,0.4,65.79294354,12.71294354,53.08,209.3,0.0,
0.4,7.0,0.4,37.00853074,16.48853074,20.52,39.56,0.0,
0.5,7.0,0.4,23.68545967,14.72545967,8.96,17.79,0.0,
0.6,7.0,0.4,16.44823589,10.70823589,5.74,6.6,0.0,
0.7,7.0,0.4,12.0844182,9.284418201,2.8,2.0,0.0,
0.8,7.0,0.4,9.252132685,7.192132685,2.06,0.75,0.0,
0.9,7.0,0.4,7.31032706,5.51032706,1.8,1.22,0.0,
0.1,7.0,0.5,529.6229791,-286.7070209,816.33,21317.33,94.0,
0.2,7.0,0.5,132.4057448,-95.03425522,227.44,4592.29,0.0,
0.3,7.0,0.5,58.84699768,1.706997679,57.14,264.04,0.0,
0.4,7.0,0.5,33.10143619,11.90143619,21.2,65.67,0.0,
0.5,7.0,0.5,21.18491916,12.38491916,8.8,13.22,0.0,
0.6,7.0,0.5,14.71174942,8.71174942,6.0,10.16,0.0,
0.7,7.0,0.5,10.80863223,7.648632227,3.16,2.55,0.0,
0.8,7.0,0.5,8.275359049,5.855359049,2.42,1.76,0.0,
