f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.7,3.0,0.7,8.647113102,4.847113102,3.8,1.06,0.0,
0.8,3.0,0.7,6.620445969,3.620445969,3.0,0.57,0.0,
0.9,3.0,0.7,5.230969654,2.610969654,2.62,0.73,0.0,
0.1,3.0,0.8,396.343049,-46.28695099,442.63,37976.48,14.0,
0.2,3.0,0.8,99.08576225,39.70576225,59.38,114.2,0.0,
0.3,3.0,0.8,44.03811656,22.69811656,21.34,20.39,0.0,
0.4,3.0,0.8,24.77144056,13.99144056,10.78,5.11,0.0,
0.5,3.0,0.8,15.85372196,8.97372196,6.88,1.9,0.0,
0.6,3.0,0.8,11.00952914,5.829529139,5.18,1.46,0.0,
0.7,3.0,0.8,8.088633653,4.268633653,3.82,0.93,0.0,
0.8,3.0,0.8,6.192860141,2.992860141,3.2,0.45,0.0,
0.9,3.0,0.8,4.893124062,2.313124062,2.58,0.33,0.0,
0.1,3.0,0.9,373.6758102,-107.4641898,481.14,45085.27,42.0,
0.2,3.0,0.9,93.41895254,34.27895254,59.14,121.39,0.0,
0.3,3.0,0.9,41.51953446,19.81953446,21.7,16.91,0.0,
0.4,3.0,0.9,23.35473814,12.23473814,11.12,5.33,0.0,
0.5,3.0,0.9,14.94703241,8.107032407,6.84,1.85,0.0,
0.6,3.0,0.9,10.37988362,5.399883616,4.98,0.88,0.0,
0.7,3.0,0.9,7.626036942,3.846036942,3.78,0.87,0.0,
0.8,3.0,0.9,5.838684534,2.818684534,3.02,0.47,0.0,
0.9,3.0,0.9,4.613281607,2.013281607,2.6,0.49,0.0,
0.1,5.0,0.0,,,,,100.0,
0.2,5.0,0.0,,,,,100.0,
0.3,5.0,0.0,,,,,100.0,
0.4,5.0,0.0,,,20.045454545454547,24.556025369978858,12.0,
0.5,5.0,0.0,,,7.88,9.291428571428572,0.0,
0.6,5.0,0.0,,,4.14,3.1840816326530614,0.0,
0.7,5.0,0.0,,,2.72,1.3893877551020408,0.0,
0.8,5.0,0.0,,,2.1,0.45918367346938777,0.0,
0.9,5.0,0.0,,,1.82,0.3955102040816327,0.0,
0.1,5.0,0.05,,,765.0,,98.0,
0.2,5.0,0.05,,,254.44,2097.5167346938774,0.0,
0.3,5.0,0.05,,,61.18,186.39551020408163,0.0,
0.4,5.0,0.05,,,18.22,17.72612244897959,0.0,
0.5,5.0,0.05,,,7.16,6.17795918367347,0.0,
0.6,5.0,0.05,,,3.62,1.709795918367347,0.0,
0.7,5.0,0.05,,,2.62,0.9751020408163266,0.0,
0.8,5.0,0.05,,,1.84,0.4228571428571429,0.0,
0.9,5.0,0.05,,,1.58,0.2893877551020408,0.0,
0.1,5.0,0.1,1146.325652,256.9156518,889.41,8548.73,56.0,
0.2,5.0,0.1,286.581413,42.86141295,243.72,3890.41,0.0,
0.3,5.0,0.1,127.3695169,32.58951687,94.78,1926.87,0.0,
0.4,5.0,0.1,71.64535324,26.50535324,45.14,278.12,0.0,
0.5,5.0,0.1,45.85302607,25.19302607,20.66,216.64,0.0,
0.6,5.0,0.1,31.84237922,18.66237922,13.18,51.17,0.0,
0.7,5.0,0.1,23.39440106,15.61440106,7.78,27.85,0.0,
0.8,5.0,0.1,17.91133831,13.41133831,4.5,5.11,0.0,
0.9,5.0,0.1,14.15216854,10.77216854,3.38,4.4,0.0,
0.1,5.0,0.2,810.5746418,211.4946418,599.08,13950.48,0.0,
0.2,5.0,0.2,202.6436605,63.68366046,138.96,1244.81,0.0,
0.3,5.0,0.2,90.06384909,40.00384909,50.06,170.47,0.0,
0.4,5.0,0.2,50.66091512,26.02091512,24.64,101.34,0.0,
0.5,5.0,0.2,32.42298567,18.80298567,13.62,18.93,0.0,
0.6,5.0,0.2,22.51596227,13.65596227,8.86,11.47,0.0,
0.7,5.0,0.2,16.54233963,11.04233963,5.5,5.72,0.0,
0.8,5.0,0.2,12.66522878,8.765228779,3.9,1.93,0.0,
0.9,5.0,0.2,10.00709434,6.987094344,3.02,1.53,0.0,
0.1,5.0,0.3,661.8314237,107.3314237,554.5,26280.85,4.0,
0.2,5.0,0.3,165.4578559,63.77785591,101.68,407.9,0.0,
0.3,5.0,0.3,73.53682485,33.95682485,39.58,145.35,0.0,
0.4,5.0,0.3,41.36446398,21.68446398,19.68,37.81,0.0,
0.5,5.0,0.3,26.47325695,15.55325695,10.92,12.56,0.0,
0.6,5.0,0.3,18.38420621,11.82420621,6.56,4.29,0.0,
0.7,5.0,0.3,13.50676375,8.266763748,5.24,4.1,0.0,
0.8,5.0,0.3,10.34111599,6.921115995,3.42,1.88,0.0,
0.9,5.0,0.3,8.170758317,5.570758317,2.6,0.78,0.0,
0.1,5.0,0.4,573.1628259,75.37282591,497.79,25238.08,6.0,
0.2,5.0,0.4,143.2907065,53.63070648,89.66,193.05,0.0,
0.3,5.0,0.4,63.68475843,31.76475843,31.92,67.42,0.0,
0.4,5.0,0.4,35.82267662,19.52267662,16.3,18.91,0.0,
0.5,5.0,0.4,22.92651304,12.64651304,10.28,6.94,0.0,
0.6,5.0,0.4,15.92118961,8.861189608,7.06,4.34,0.0,
0.7,5.0,0.4,11.69720053,7.357200529,4.34,2.43,0.0,
0.8,5.0,0.4,8.955669155,6.115669155,2.84,0.67,0.0,
0.9,5.0,0.4,7.07608427,4.51608427,2.56,0.46,0.0,
0.1,5.0,0.5,512.6524164,-18.34758364,531.0,35087.16,8.0,
0.2,5.0,0.5,128.1631041,39.54310409,88.62,499.59,0.0,
0.3,5.0,0.5,56.9613796,27.4813796,29.48,41.56,0.0,
0.4,5.0,0.5,32.04077602,17.08077602,14.96,11.3,0.0,
0.5,5.0,0.5,20.50609665,11.20609665,9.3,5.77,0.0,
0.6,5.0,0.5,14.2403449,8.060344899,6.18,3.05,0.0,
0.7,5.0,0.5,10.46229421,6.542294211,3.92,1.59,0.0,
0.8,5.0,0.5,8.010194006,4.790194006,3.22,0.99,0.0,
0.9,5.0,0.5,6.329042177,3.689042177,2.64,0.72,0.0,
0.1,5.0,0.6,467.9854877,-48.17451233,516.16,29344.2,36.0,
0.2,5.0,0.6,116.9963719,35.27637192,81.72,250.37,0.0,
0.3,5.0,0.6,51.99838752,23.99838752,28.0,35.59,0.0,
0.4,5.0,0.6,29.24909298,14.88909298,14.36,13.87,0.0,
0.5,5.0,0.6,18.71941951,9.799419507,8.92,3.34,0.0,
0.6,5.0,0.6,12.99959688,7.73959688,5.26,2.89,0.0,
0.7,5.0,0.6,9.550724238,5.790724238,3.76,1.45,0.0,
0.8,5.0,0.6,7.312273245,4.312273245,3.0,0.61,0.0,
0.9,5.0,0.6,5.777598613,3.317598613,2.46,0.46,0.0,
0.1,5.0,0.7,433.2703709,-128.9296291,562.2,35308.46,70.0,
0.2,5.0,0.7,108.3175927,20.65759272,87.66,263.82,0.0,
0.3,5.0,0.7,48.14115232,21.08115232,27.06,27.94,0.0,
0.4,5.0,0.7,27.07939818,13.47939818,13.6,7.1,0.0,
0.5,5.0,0.7,17.33081484,9.010814835,8.32,4.71,0.0,
0.6,5.0,0.7,12.03528808,6.07528808,5.96,3.02,0.0,
0.7,5.0,0.7,8.842252467,4.822252467,4.02,1.16,0.0,
0.8,5.0,0.7,6.769849545,3.589849545,3.18,0.56,0.0,
0.9,5.0,0.7,5.349016924,3.009016924,2.34,0.35,0.0,
0.1,5.0,0.8,405.2873209,-106.0926791,511.38,52818.55,84.0,
0.2,5.0,0.8,101.3218302,16.20183023,85.12,255.29,0.0,
0.3,5.0,0.8,45.03192455,18.25192455,26.78,27.93,0.0,
0.4,5.0,0.8,25.33045756,11.85045756,13.48,6.83,0.0,
0.5,5.0,0.8,16.21149284,8.291492837,7.92,2.56,0.0,
0.6,5.0,0.8,11.25798114,5.437981137,5.82,2.35,0.0,
0.7,5.0,0.8,8.271169815,4.351169815,3.92,0.93,0.0,
0.8,5.0,0.8,6.332614389,3.232614389,3.1,0.66,0.0,
0.9,5.0,0.8,5.003547172,2.443547172,2.56,0.46,0.0,
0.1,5.0,0.9,382.1085506,-533.8914494,916.0,3200.0,96.0,
0.2,5.0,0.9,95.52713765,8.887137651,86.64,427.54,0.0,
0.3,5.0,0.9,42.45650562,15.87650562,26.58,27.27,0.0,
0.4,5.0,0.9,23.88178441,11.26178441,12.62,4.89,0.0,
0.5,5.0,0.9,15.28434202,7.904342024,7.38,1.95,0.0,
0.6,5.0,0.9,10.61412641,5.214126406,5.4,2.24,0.0,
0.7,5.0,0.9,7.798133686,3.778133686,4.02,1.45,0.0,
0.8,5.0,0.9,5.970446103,3.050446103,2.92,0.48,0.0,
0.9,5.0,0.9,4.717389514,2.117389514,2.6,0.41,0.0,
0.1,7.0,0.0,,,,,100.0,
0.2,7.0,0.0,,,,,100.0,
0.3,7.0,0.0,,,,,100.0,
0.4,7.0,0.0,,,26.25531914893617,56.32469935245143,6.0,
0.5,7.0,0.0,,,8.979591836734693,9.562074829931973,2.0,
0.6,7.0,0.0,,,3.88,4.556734693877551,0.0,
0.7,7.0,0.0,,,2.94,1.1595918367346938,0.0,
0.8,7.0,0.0,,,1.96,0.28408163265306124,0.0,
0.9,7.0,0.0,,,1.54,0.3759183673469388,0.0,
0.1,7.0,0.05,,,,,100.0,
0.2,7.0,0.05,,,288.56,5037.435102040817,0.0,
0.3,7.0,0.05,,,68.3,304.98979591836735,0.0,
0.4,7.0,0.05,,,21.78,32.0934693877551,0.0,
0.5,7.0,0.05,,,8.02,11.734285714285715,0.0,
0.6,7.0,0.05,,,4.54,3.233061224489796,0.0,
0.7,7.0,0.05,,,2.7,1.1938775510204083,0.0,
0.8,7.0,0.05,,,2.1,0.29591836734693877,0.0,
0.9,7.0,0.05,,,1.66,0.3514285714285714,0.0,
0.1,7.0,0.1,1184.272984,301.4729837,882.8,6900.31,70.0,
0.2,7.0,0.1,296.0682459,38.40824593,257.66,5369.78,0.0,
0.3,7.0,0.1,131.5858871,37.52588708,94.06,1636.18,0.0,
0.4,7.0,0.1,74.01706148,26.97706148,47.04,312.28,0.0,
0.5,7.0,0.1,47.37091935,24.35091935,23.02,102.63,0.0,
0.6,7.0,0.1,32.89647177,18.49647177,14.4,63.96,0.0,
0.7,7.0,0.1,24.1688364,15.2688364,8.9,36.74,0.0,
0.8,7.0,0.1,18.50426537,13.16426537,5.34,11.7,0.0,
0.9,7.0,0.1,14.62065412,10.34065412,4.28,14.82,0.0,
0.1,7.0,0.2,837.4074576,176.3174576,661.09,14746.21,6.0,
0.2,7.0,0.2,209.3518644,61.57186439,147.78,1121.69,0.0,
0.3,7.0,0.2,93.04527306,36.36527306,56.68,202.71,0.0,
0.4,7.0,0.2,52.3379661,25.2979661,27.04,78.08,0.0,
0.5,7.0,0.2,33.4962983,16.9362983,16.56,46.78,0.0,
0.6,7.0,0.2,23.26131827,14.24131827,9.02,8.22,0.0,
0.7,7.0,0.2,17.08994811,11.16994811,5.92,11.46,0.0,
0.8,7.0,0.2,13.08449152,9.124491525,3.96,3.75,0.0,
0.9,7.0,0.2,10.33836367,7.498363674,2.84,2.59,0.0,
0.1,7.0,0.3,683.740326,53.33032595,630.41,23548.03,8.0,
0.2,7.0,0.3,170.9350815,50.55508149,120.38,588.12,0.0,
0.3,7.0,0.3,75.97114733,32.17114733,43.8,124.98,0.0,
0.4,7.0,0.3,42.73377037,21.39377037,21.34,36.76,0.0,
0.5,7.0,0.3,27.34961304,15.76961304,11.58,8.58,0.0,
0.6,7.0,0.3,18.99278683,11.71278683,7.28,8.12,0.0,
0.7,7.0,0.3,13.9538842,8.713884203,5.24,4.43,0.0,
0.8,7.0,0.3,10.68344259,6.943442593,3.74,4.6,0.0,
0.9,7.0,0.3,8.441238592,5.841238592,2.6,0.82,0.0,
