f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,56.166666666666664,758.1515151515151,76.0,
0.4,3.0,0.0,,,7.531914893617022,9.732654949121184,6.0,
0.5,3.0,0.0,,,2.510204081632653,1.21343537414966,2.0,
0.6,3.0,0.0,,,1.24,0.18612244897959185,0.0,
0.7,3.0,0.0,,,1.1,0.09183673469387756,0.0,
0.8,3.0,0.0,,,1.06,0.05755102040816327,0.0,
0.9,3.0,0.0,,,1.02,0.02,0.0,
0.1,3.0,0.05,,,968.0,,98.0,
0.2,3.0,0.05,,,359.98,11244.428163265306,0.0,
0.3,3.0,0.05,,,79.48,1153.1526530612246,0.0,
0.4,3.0,0.05,,,8.5,33.642857142857146,0.0,
0.5,3.0,0.05,,,3.26,8.767755102040816,0.0,
0.6,3.0,0.05,,,1.42,0.2893877551020408,0.0,
0.7,3.0,0.05,,,1.14,0.12285714285714286,0.0,
0.8,3.0,0.05,,,1.02,0.02,0.0,
0.9,3.0,0.05,,,1.0,0.0,0.0,
0.1,3.0,0.1,1121.027431,317.4674305,803.56,12428.77,28.0,0.7353502008
0.2,3.0,0.1,280.2568576,81.21685763,199.04,3099.75,0.0,
0.3,3.0,0.1,124.5586034,69.07860339,55.48,709.4,0.0,
0.4,3.0,0.1,70.06421441,60.48421441,9.58,95.88,0.0,
0.5,3.0,0.1,44.84109722,42.20109722,2.64,5.87,0.0,
0.6,3.0,0.1,31.13965085,29.75965085,1.38,0.28,0.0,
0.7,3.0,0.1,22.87811083,21.67811083,1.2,0.16,0.0,
0.8,3.0,0.1,17.5160536,16.4560536,1.06,0.06,0.0,
0.9,3.0,0.1,13.83984482,12.83984482,1.0,0.0,0.0,
0.1,3.0,0.2,792.686098,222.966098,569.72,17186.49,0.0,
0.2,3.0,0.2,198.1715245,81.37152451,116.8,970.2,0.0,
0.3,3.0,0.2,88.07623311,51.79623311,36.28,156.08,0.0,
0.4,3.0,0.2,49.54288113,42.42288113,7.12,31.9,0.0,
0.5,3.0,0.2,31.70744392,29.24744392,2.46,1.03,0.0,
0.6,3.0,0.2,22.01905828,20.63905828,1.38,0.24,0.0,
0.7,3.0,0.2,16.17726731,15.07726731,1.1,0.09,0.0,
0.8,3.0,0.2,12.38572028,11.32572028,1.06,0.06,0.0,
0.9,3.0,0.2,9.786248124,8.766248124,1.02,0.02,0.0,
0.1,3.0,0.3,647.2254888,123.8054888,523.42,11001.51,0.0,
0.2,3.0,0.3,161.8063722,62.0663722,99.74,669.46,0.0,
0.3,3.0,0.3,71.9139432,40.3139432,31.6,111.8,0.0,
0.4,3.0,0.3,40.45159305,33.35159305,7.1,8.42,0.0,
0.5,3.0,0.3,25.88901955,23.46901955,2.42,0.78,0.0,
