f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,,,100.0,
0.4,3.0,0.0,,,,,100.0,
0.5,3.0,0.0,,,,,100.0,
0.6,3.0,0.0,,,2.0454545454545454,0.6168831168831169,56.0,
0.7,3.0,0.0,,,1.935483870967742,0.3956989247311828,38.0,
0.8,3.0,0.0,,,1.8108108108108107,0.6021021021021021,26.0,
0.9,3.0,0.0,,,1.1951219512195121,0.16097560975609757,18.0,
0.1,3.0,0.05,,,,,100.0,
0.2,3.0,0.05,,,784.0,12821.5,90.0,
0.3,3.0,0.05,,,588.2682926829268,38481.1512195122,18.0,
0.4,3.0,0.05,,,318.62,27775.34244897959,0.0,
0.5,3.0,0.05,,,157.38,6290.52612244898,0.0,
0.6,3.0,0.05,,,13.42,447.30979591836734,0.0,
0.7,3.0,0.05,,,14.74,833.8697959183673,0.0,
0.8,3.0,0.05,,,8.88,252.31183673469388,0.0,
0.9,3.0,0.05,,,3.1,78.66326530612245,0.0,
0.1,3.0,0.1,1121.027431,,,,100.0,0.8602784684
0.2,3.0,0.1,280.2568576,-404.3331424,684.59,29229.25,46.0,
0.3,3.0,0.1,124.5586034,-209.6413966,334.2,24827.23,8.0,
0.4,3.0,0.1,70.06421441,-102.5757856,172.64,6683.75,0.0,
0.5,3.0,0.1,44.84109722,-32.89890278,77.74,1574.48,0.0,
0.6,3.0,0.1,31.13965085,23.71965085,7.42,69.11,0.0,
0.7,3.0,0.1,22.87811083,18.27811083,4.6,44.9,0.0,
0.8,3.0,0.1,17.5160536,12.9560536,4.56,59.6,0.0,
0.9,3.0,0.1,13.83984482,11.67984482,2.16,11.24,0.0,
0.1,3.0,0.2,792.686098,-52.91390198,845.6,26012.8,90.0,
0.2,3.0,0.2,198.1715245,-271.9984755,470.17,43295.42,4.0,
0.3,3.0,0.2,88.07623311,-110.1937669,198.27,18109.87,2.0,
0.4,3.0,0.2,49.54288113,-39.05711887,88.6,2436.24,0.0,
0.5,3.0,0.2,31.70744392,-8.852556079,40.56,1738.86,0.0,
0.6,3.0,0.2,22.01905828,16.75905828,5.26,20.2,0.0,
0.7,3.0,0.2,16.17726731,13.07726731,3.1,11.68,0.0,
0.8,3.0,0.2,12.38572028,10.06572028,2.32,5.85,0.0,
0.9,3.0,0.2,9.786248124,7.866248124,1.92,2.81,0.0,
0.1,3.0,0.3,647.2254888,-71.59451121,718.82,10532.56,78.0,
0.2,3.0,0.3,161.8063722,-231.8336278,393.64,31165.46,10.0,
0.3,3.0,0.3,71.9139432,-54.1660568,126.08,3194.52,0.0,
0.4,3.0,0.3,40.45159305,-24.64840695,65.1,1143.56,0.0,
0.5,3.0,0.3,25.88901955,-3.640980449,29.53,541.38,2.0,
