f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.1,3.0,0.0,,,,,100.0,
0.2,3.0,0.0,,,,,100.0,
0.3,3.0,0.0,,,68.875,521.5535714285714,84.0,
0.4,3.0,0.0,,,5.54,4.539183673469387,0.0,
0.5,3.0,0.0,,,2.06,0.4657142857142857,0.0,
0.6,3.0,0.0,,,1.34,0.2289795918367347,0.0,
0.7,3.0,0.0,,,1.1,0.09183673469387756,0.0,
0.8,3.0,0.0,,,1.02,0.02,0.0,
0.9,3.0,0.0,,,1.0,0.0,0.0,
0.1,3.0,0.05,,,960.0,1458.0,96.0,
0.2,3.0,0.05,,,301.7,11200.051020408164,0.0,
0.3,3.0,0.05,,,53.34,437.3310204081633,0.0,
0.4,3.0,0.05,,,5.82,7.211836734693877,0.0,
0.5,3.0,0.05,,,1.98,0.6730612244897959,0.0,
0.6,3.0,0.05,,,1.3,0.21428571428571427,0.0,
0.7,3.0,0.05,,,1.1,0.09183673469387756,0.0,
0.8,3.0,0.05,,,1.02,0.02,0.0,
0.9,3.0,0.05,,,1.0,0.0,0.0,
0.1,3.0,0.1,1121.027431,256.9674305,864.06,12769.94,64.0,0.6709679063
0.2,3.0,0.1,280.2568576,105.6968576,174.56,2500.13,0.0,
0.3,3.0,0.1,124.5586034,86.41860339,38.14,144.0,0.0,
0.4,3.0,0.1,70.06421441,65.12421441,4.94,5.57,0.0,
0.5,3.0,0.1,44.84109722,42.96109722,1.88,0.27,0.0,
0.6,3.0,0.1,31.13965085,29.83965085,1.3,0.21,0.0,
0.7,3.0,0.1,22.87811083,21.79811083,1.08,0.08,0.0,
0.8,3.0,0.1,17.5160536,16.4760536,1.04,0.04,0.0,
0.9,3.0,0.1,13.83984482,12.83984482,1.0,0.0,0.0,
0.1,3.0,0.2,792.686098,79.40609802,713.28,26517.58,28.0,
0.2,3.0,0.2,198.1715245,82.47152451,115.7,506.38,0.0,
0.3,3.0,0.2,88.07623311,57.45623311,30.62,74.4,0.0,
0.4,3.0,0.2,49.54288113,44.24288113,5.3,5.48,0.0,
0.5,3.0,0.2,31.70744392,29.70744392,2.0,0.29,0.0,
0.6,3.0,0.2,22.01905828,20.71905828,1.3,0.21,0.0,
0.7,3.0,0.2,16.17726731,15.05726731,1.12,0.11,0.0,
0.8,3.0,0.2,12.38572028,11.36572028,1.02,0.02,0.0,
0.9,3.0,0.2,9.786248124,8.786248124,1.0,0.0,0.0,
0.1,3.0,0.3,647.2254888,-41.74451121,688.97,24749.39,36.0,
0.2,3.0,0.3,161.8063722,57.0063722,104.8,509.43,0.0,
0.3,3.0,0.3,71.9139432,43.7739432,28.14,43.67,0.0,
0.4,3.0,0.3,40.45159305,35.39159305,5.06,5.2,0.0,
0.5,3.0,0.3,25.88901955,23.76901955,2.12,0.27,0.0,
