f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.7,3.0,0.7,8.647113102,4.647113102,4.0,2.98,0.0,
0.8,3.0,0.7,6.620445969,3.280445969,3.34,1.78,0.0,
0.9,3.0,0.7,5.230969654,2.470969654,2.76,1.08,0.0,
0.1,3.0,0.8,396.343049,0.1830490118,396.16,13950.14,0.0,
0.2,3.0,0.8,99.08576225,28.84576225,70.24,400.43,0.0,
0.3,3.0,0.8,44.03811656,16.79811656,27.24,92.31,0.0,
0.4,3.0,0.8,24.77144056,11.47144056,13.3,13.48,0.0,
0.5,3.0,0.8,15.85372196,7.51372196,8.34,5.58,0.0,
0.6,3.0,0.8,11.00952914,5.409529139,5.6,4.49,0.0,
0.7,3.0,0.8,8.088633653,3.808633653,4.28,2.33,0.0,
0.8,3.0,0.8,6.192860141,2.892860141,3.3,1.19,0.0,
0.9,3.0,0.8,4.893124062,2.273124062,2.62,0.44,0.0,
0.1,3.0,0.9,373.6758102,-24.40418982,398.08,20699.54,0.0,
0.2,3.0,0.9,93.41895254,27.13895254,66.28,185.76,0.0,
0.3,3.0,0.9,41.51953446,16.61953446,24.9,31.32,0.0,
0.4,3.0,0.9,23.35473814,9.954738136,13.4,17.02,0.0,
0.5,3.0,0.9,14.94703241,6.727032407,8.22,5.81,0.0,
0.6,3.0,0.9,10.37988362,4.559883616,5.82,2.68,0.0,
0.7,3.0,0.9,7.626036942,3.726036942,3.9,1.52,0.0,
0.8,3.0,0.9,5.838684534,2.558684534,3.28,1.59,0.0,
0.9,3.0,0.9,4.613281607,1.953281607,2.66,0.8,0.0,
0.1,5.0,0.0,,,,,100.0,
0.2,5.0,0.0,,,,,100.0,
0.3,5.0,0.0,,,,,100.0,
0.4,5.0,0.0,,,,,100.0,
0.5,5.0,0.0,,,,,100.0,
0.6,5.0,0.0,,,8.666666666666666,9.066666666666666,88.0,
0.7,5.0,0.0,,,6.416666666666667,19.21014492753623,52.0,
0.8,5.0,0.0,,,3.9696969696969697,9.155303030303031,34.0,
0.9,5.0,0.0,,,3.473684210526316,5.337126600284495,24.0,
0.1,5.0,0.05,,,,,100.0,
0.2,5.0,0.05,,,479.7959183673469,17210.124149659863,2.0,
