f,memory,mobility_rate,prediction,error,mean,variance,fail rate,r^2
0.7,3.0,0.7,8.647113102,6.787113102,1.86,0.37,0.0,
0.8,3.0,0.7,6.620445969,5.080445969,1.54,0.29,0.0,
0.9,3.0,0.7,5.230969654,4.150969654,1.08,0.08,0.0,
0.1,3.0,0.8,396.343049,74.22304901,322.12,6241.62,0.0,
0.2,3.0,0.8,99.08576225,27.76576225,71.32,476.18,0.0,
0.3,3.0,0.8,44.03811656,18.45811656,25.58,68.41,0.0,
0.4,3.0,0.8,24.77144056,14.91144056,9.86,6.69,0.0,
0.5,3.0,0.8,15.85372196,11.21372196,4.64,2.03,0.0,
0.6,3.0,0.8,11.00952914,8.629529139,2.38,0.57,0.0,
0.7,3.0,0.8,8.088633653,5.988633653,2.1,0.99,0.0,
0.8,3.0,0.8,6.192860141,4.732860141,1.46,0.29,0.0,
0.9,3.0,0.8,4.893124062,3.813124062,1.08,0.08,0.0,
0.1,3.0,0.9,373.6758102,49.55581018,324.12,5826.35,0.0,
0.2,3.0,0.9,93.41895254,23.65895254,69.76,369.17,0.0,
0.3,3.0,0.9,41.51953446,20.97953446,20.54,49.31,0.0,
0.4,3.0,0.9,23.35473814,14.43473814,8.92,10.24,0.0,
0.5,3.0,0.9,14.94703241,10.42703241,4.52,2.21,0.0,
0.6,3.0,0.9,10.37988362,7.979883616,2.4,0.73,0.0,
0.7,3.0,0.9,7.626036942,5.766036942,1.86,0.41,0.0,
0.8,3.0,0.9,5.838684534,4.258684534,1.58,0.29,0.0,
0.9,3.0,0.9,4.613281607,3.413281607,1.2,0.2,0.0,
0.1,5.0,0.0,,,,,100.0,
0.2,5.0,0.0,,,,,100.0,
0.3,5.0,0.0,,,,,100.0,
0.4,5.0,0.0,,,,,100.0,
0.5,5.0,0.0,,,12.0,8.0,96.0,
0.6,5.0,0.0,,,2.4489795918367347,1.7942176870748299,2.0,
0.7,5.0,0.0,,,2.0208333333333335,1.3399822695035462,4.0,
0.8,5.0,0.0,,,1.2,0.16326530612244897,0.0,
0.9,5.0,0.0,,,1.06,0.05755102040816327,0.0,
0.1,5.0,0.05,,,,,100.0,
0.2,5.0,0.05,,,571.4782608695652,25802.521739130436,8.0,
0.3,5.0,0.05,,,187.2,9400.57142857143,0.0,
0.4,5.0,0.05,,,72.16,2630.3820408163265,0.0,
0.5,5.0,0.05,,,31.0,394.53061224489795,0.0,
0.6,5.0,0.05,,,4.02,17.040408163265305,0.0,
0.7,5.0,0.05,,,2.88,13.61795918367347,0.0,
0.8,5.0,0.05,,,1.3,0.336734693877551,0.0,
0.9,5.0,0.05,,,1.06,0.05755102040816327,0.0,
0.1,5.0,0.1,1146.325652,297.6156518,848.71,8323.72,66.0,
0.2,5.0,0.1,286.581413,-15.39858705,301.98,9915.94,0.0,
0.3,5.0,0.1,127.3695169,20.82951687,106.54,2740.58,0.0,
0.4,5.0,0.1,71.64535324,37.08535324,34.56,374.86,0.0,
0.5,5.0,0.1,45.85302607,31.15302607,14.7,68.91,0.0,
0.6,5.0,0.1,31.84237922,28.76237922,3.08,6.89,0.0,
0.7,5.0,0.1,23.39440106,21.47440106,1.92,1.5,0.0,
0.8,5.0,0.1,17.91133831,16.61133831,1.3,0.3,0.0,
0.9,5.0,0.1,14.15216854,13.13216854,1.02,0.02,0.0,
0.1,5.0,0.2,810.5746418,141.5546418,669.02,14222.49,4.0,
0.2,5.0,0.2,202.6436605,31.18366046,171.46,5684.29,0.0,
0.3,5.0,0.2,90.06384909,27.98384909,62.08,452.56,0.0,
0.4,5.0,0.2,50.66091512,29.50091512,21.16,93.24,0.0,
0.5,5.0,0.2,32.42298567,22.86298567,9.56,37.39,0.0,
0.6,5.0,0.2,22.51596227,19.93596227,2.58,9.02,0.0,
